Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-06-01,598.0,595,3.0,531.0,534.0,64.0,61.0,2004,6
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-06-01,827.0,803,24.0,756.0,737.0,47.0,66.0,2004,6
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-06-01,320.0,319,1.0,291.0,282.0,28.0,37.0,2004,6
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-06-01,496.0,492,4.0,465.0,458.0,27.0,34.0,2004,6
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-06-01,691.0,684,7.0,611.0,631.0,73.0,53.0,2004,6
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-06-01,497.0,494,3.0,461.0,462.0,33.0,32.0,2004,6
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-06-01,690.0,683,7.0,648.0,629.0,35.0,54.0,2004,6
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-07-01,472.0,471,1.0,407.0,415.0,64.0,56.0,2004,7
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-07-01,650.0,642,8.0,563.0,556.0,79.0,86.0,2004,7
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-07-01,890.0,859,31.0,746.0,744.0,113.0,115.0,2004,7
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-07-01,656.0,648,8.0,568.0,572.0,80.0,76.0,2004,7
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-07-01,857.0,831,26.0,720.0,727.0,111.0,104.0,2004,7
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-07-01,332.0,328,4.0,290.0,288.0,38.0,40.0,2004,7
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-07-01,512.0,503,9.0,468.0,463.0,35.0,40.0,2004,7
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-07-01,721.0,697,24.0,573.0,587.0,124.0,110.0,2004,7
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-07-01,514.0,506,8.0,444.0,452.0,62.0,54.0,2004,7
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-07-01,719.0,696,23.0,623.0,612.0,73.0,84.0,2004,7
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-08-01,450.0,450,0.0,404.0,402.0,46.0,48.0,2004,8
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-08-01,708.0,699,9.0,635.0,607.0,64.0,92.0,2004,8
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-08-01,859.0,840,19.0,764.0,742.0,76.0,98.0,2004,8
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-08-01,705.0,699,6.0,640.0,640.0,59.0,59.0,2004,8
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-08-01,845.0,826,19.0,735.0,729.0,91.0,97.0,2004,8
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-08-01,324.0,324,0.0,302.0,294.0,22.0,30.0,2004,8
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-08-01,515.0,506,9.0,477.0,458.0,29.0,48.0,2004,8
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-08-01,737.0,722,15.0,621.0,624.0,101.0,98.0,2004,8
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-08-01,513.0,501,12.0,446.0,444.0,55.0,57.0,2004,8
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-08-01,739.0,723,16.0,653.0,645.0,70.0,78.0,2004,8
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-09-01,463.0,461,2.0,382.0,392.0,79.0,69.0,2004,9
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-09-01,674.0,653,21.0,571.0,564.0,82.0,89.0,2004,9
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-09-01,884.0,840,44.0,759.0,745.0,81.0,95.0,2004,9
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-09-01,667.0,649,18.0,595.0,592.0,54.0,57.0,2004,9
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-09-01,870.0,838,32.0,744.0,732.0,94.0,106.0,2004,9
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-09-01,303.0,301,2.0,245.0,255.0,56.0,46.0,2004,9
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-09-01,499.0,485,14.0,415.0,400.0,70.0,85.0,2004,9
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-09-01,705.0,672,33.0,468.0,477.0,204.0,195.0,2004,9
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-09-01,499.0,482,17.0,362.0,366.0,120.0,116.0,2004,9
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-09-01,704.0,668,36.0,479.0,476.0,189.0,192.0,2004,9
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-10-01,447.0,446,1.0,347.0,368.0,99.0,78.0,2004,10
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-10-01,694.0,680,14.0,568.0,564.0,112.0,116.0,2004,10
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-10-01,850.0,827,23.0,720.0,696.0,107.0,131.0,2004,10
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-10-01,692.0,680,12.0,581.0,567.0,99.0,113.0,2004,10
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-10-01,835.0,815,20.0,679.0,682.0,136.0,133.0,2004,10
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-10-01,305.0,305,0.0,251.0,256.0,54.0,49.0,2004,10
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-10-01,508.0,503,5.0,440.0,433.0,63.0,70.0,2004,10
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-10-01,701.0,693,8.0,569.0,550.0,124.0,143.0,2004,10
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-10-01,507.0,502,5.0,390.0,384.0,112.0,118.0,2004,10
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-10-01,700.0,691,9.0,554.0,550.0,137.0,141.0,2004,10
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-11-01,447.0,446,1.0,381.0,387.0,65.0,59.0,2004,11
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-11-01,619.0,614,5.0,549.0,544.0,65.0,70.0,2004,11
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-11-01,864.0,837,27.0,750.0,714.0,87.0,123.0,2004,11
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-11-01,614.0,607,7.0,576.0,559.0,31.0,48.0,2004,11
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-11-01,846.0,822,24.0,709.0,728.0,113.0,94.0,2004,11
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-11-01,292.0,292,0.0,256.0,254.0,36.0,38.0,2004,11
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-11-01,494.0,485,9.0,458.0,448.0,27.0,37.0,2004,11
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-11-01,683.0,672,11.0,582.0,564.0,90.0,108.0,2004,11
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-11-01,493.0,482,11.0,436.0,419.0,46.0,63.0,2004,11
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-11-01,683.0,673,10.0,609.0,610.0,64.0,63.0,2004,11
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-12-01,467.0,466,1.0,389.0,383.0,77.0,83.0,2004,12
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-12-01,650.0,643,7.0,554.0,536.0,89.0,107.0,2004,12
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-12-01,833.0,809,24.0,650.0,655.0,159.0,154.0,2004,12
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-12-01,648.0,641,7.0,564.0,551.0,77.0,90.0,2004,12
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-12-01,810.0,792,18.0,639.0,632.0,153.0,160.0,2004,12
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-12-01,301.0,299,2.0,267.0,271.0,32.0,28.0,2004,12
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-12-01,483.0,478,5.0,423.0,396.0,55.0,82.0,2004,12
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-12-01,656.0,638,18.0,554.0,520.0,84.0,118.0,2004,12
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-12-01,483.0,473,10.0,392.0,379.0,81.0,94.0,2004,12
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-12-01,657.0,640,17.0,553.0,542.0,87.0,98.0,2004,12
Brisbane-Melbourne,Brisbane,Melbourne,Jetstar,2005-01-01,1.0,0,1.0,0.0,0.0,0.0,0.0,2005,1
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-01-01,464.0,459,5.0,395.0,400.0,64.0,59.0,2005,1
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-01-01,644.0,631,13.0,563.0,569.0,68.0,62.0,2005,1
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-01-01,793.0,764,29.0,697.0,672.0,67.0,92.0,2005,1
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-01-01,642.0,631,11.0,572.0,569.0,59.0,62.0,2005,1
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-01-01,769.0,744,25.0,646.0,660.0,98.0,84.0,2005,1
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-01-01,299.0,299,0.0,280.0,268.0,19.0,31.0,2005,1
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-01-01,454.0,445,9.0,413.0,403.0,32.0,42.0,2005,1
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-01-01,623.0,614,9.0,561.0,543.0,53.0,71.0,2005,1
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-01-01,455.0,446,9.0,395.0,392.0,51.0,54.0,2005,1
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-01-01,623.0,613,10.0,564.0,565.0,49.0,48.0,2005,1
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-02-01,417.0,404,13.0,354.0,351.0,50.0,53.0,2005,2
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-02-01,585.0,575,10.0,509.0,508.0,66.0,67.0,2005,2
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-02-01,799.0,772,27.0,670.0,639.0,102.0,133.0,2005,2
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-02-01,580.0,568,12.0,492.0,486.0,76.0,82.0,2005,2
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-02-01,789.0,767,22.0,664.0,659.0,103.0,108.0,2005,2
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-02-01,271.0,257,14.0,237.0,228.0,20.0,29.0,2005,2
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-02-01,422.0,419,3.0,393.0,381.0,26.0,38.0,2005,2
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-02-01,631.0,598,33.0,510.0,484.0,88.0,114.0,2005,2
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-02-01,420.0,416,4.0,362.0,354.0,54.0,62.0,2005,2
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-02-01,632.0,604,28.0,515.0,497.0,89.0,107.0,2005,2
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-03-01,463.0,457,6.0,396.0,406.0,61.0,51.0,2005,3
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-03-01,642.0,638,4.0,565.0,561.0,73.0,77.0,2005,3
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-03-01,902.0,875,27.0,744.0,724.0,131.0,151.0,2005,3
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-03-01,638.0,633,5.0,553.0,562.0,80.0,71.0,2005,3
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-03-01,889.0,867,22.0,734.0,754.0,133.0,113.0,2005,3
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-03-01,280.0,277,3.0,266.0,267.0,11.0,10.0,2005,3
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-03-01,459.0,455,4.0,438.0,426.0,17.0,29.0,2005,3
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-03-01,690.0,675,15.0,626.0,588.0,49.0,87.0,2005,3
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-03-01,459.0,454,5.0,415.0,415.0,39.0,39.0,2005,3
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-03-01,691.0,676,15.0,611.0,612.0,65.0,64.0,2005,3
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-04-01,455.0,450,5.0,374.0,404.0,76.0,46.0,2005,4
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-04-01,607.0,603,4.0,528.0,543.0,75.0,60.0,2005,4
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-04-01,840.0,814,26.0,681.0,671.0,133.0,143.0,2005,4
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-04-01,609.0,604,5.0,542.0,543.0,62.0,61.0,2005,4
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-04-01,832.0,809,23.0,651.0,675.0,158.0,134.0,2005,4
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-04-01,289.0,283,6.0,252.0,259.0,31.0,24.0,2005,4
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-04-01,465.0,457,8.0,422.0,422.0,35.0,35.0,2005,4
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-04-01,664.0,652,12.0,598.0,590.0,54.0,62.0,2005,4
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-04-01,464.0,456,8.0,422.0,423.0,34.0,33.0,2005,4
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-04-01,665.0,653,12.0,601.0,595.0,52.0,58.0,2005,4
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-05-01,469.0,449,20.0,388.0,397.0,61.0,52.0,2005,5
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-05-01,630.0,617,13.0,526.0,537.0,91.0,80.0,2005,5
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-05-01,886.0,836,50.0,757.0,734.0,79.0,102.0,2005,5
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-05-01,628.0,612,16.0,533.0,523.0,79.0,89.0,2005,5
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-05-01,878.0,830,48.0,715.0,727.0,115.0,103.0,2005,5
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-05-01,302.0,301,1.0,283.0,287.0,18.0,14.0,2005,5
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-05-01,498.0,489,9.0,462.0,463.0,27.0,26.0,2005,5
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-05-01,703.0,688,15.0,655.0,637.0,33.0,51.0,2005,5
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-05-01,496.0,487,9.0,453.0,446.0,34.0,41.0,2005,5
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-05-01,703.0,689,14.0,649.0,653.0,40.0,36.0,2005,5
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-06-01,450.0,444,6.0,338.0,345.0,106.0,99.0,2005,6
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-06-01,604.0,596,8.0,477.0,472.0,119.0,124.0,2005,6
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-06-01,842.0,814,28.0,659.0,644.0,155.0,170.0,2005,6
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-06-01,606.0,601,5.0,524.0,486.0,77.0,115.0,2005,6
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-06-01,835.0,805,30.0,656.0,661.0,149.0,144.0,2005,6
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-06-01,292.0,291,1.0,254.0,258.0,37.0,33.0,2005,6
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-06-01,492.0,478,14.0,418.0,417.0,60.0,61.0,2005,6
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-06-01,685.0,667,18.0,584.0,567.0,83.0,100.0,2005,6
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-06-01,492.0,479,13.0,423.0,399.0,56.0,80.0,2005,6
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-06-01,685.0,665,20.0,571.0,576.0,94.0,89.0,2005,6
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-07-01,465.0,462,3.0,395.0,390.0,67.0,72.0,2005,7
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-07-01,625.0,612,13.0,515.0,504.0,97.0,108.0,2005,7
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-07-01,838.0,811,27.0,747.0,741.0,64.0,70.0,2005,7
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-07-01,624.0,613,11.0,545.0,531.0,68.0,82.0,2005,7
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-07-01,829.0,806,23.0,728.0,717.0,78.0,89.0,2005,7
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-07-01,300.0,299,1.0,267.0,268.0,32.0,31.0,2005,7
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-07-01,502.0,493,9.0,445.0,433.0,48.0,60.0,2005,7
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-07-01,696.0,680,16.0,612.0,618.0,68.0,62.0,2005,7
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-07-01,503.0,494,9.0,423.0,427.0,71.0,67.0,2005,7
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-07-01,697.0,681,16.0,613.0,599.0,68.0,82.0,2005,7
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-08-01,452.0,445,7.0,401.0,381.0,44.0,64.0,2005,8
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-08-01,606.0,598,8.0,523.0,502.0,75.0,96.0,2005,8
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-08-01,828.0,797,31.0,723.0,702.0,74.0,95.0,2005,8
Sydney-Brisbane,Sydney,Brisbane,Qantas,2005-08-01,610.0,599,11.0,536.0,538.0,63.0,61.0,2005,8
Sydney-Melbourne,Sydney,Melbourne,Qantas,2005-08-01,818.0,790,28.0,705.0,684.0,85.0,106.0,2005,8
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2005-08-01,302.0,299,3.0,281.0,278.0,18.0,21.0,2005,8
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2005-08-01,523.0,515,8.0,487.0,471.0,28.0,44.0,2005,8
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2005-08-01,712.0,706,6.0,629.0,630.0,77.0,76.0,2005,8
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2005-08-01,524.0,515,9.0,470.0,471.0,45.0,44.0,2005,8
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2005-08-01,711.0,705,6.0,665.0,640.0,40.0,65.0,2005,8
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2005-09-01,462.0,454,8.0,394.0,377.0,60.0,77.0,2005,9
Brisbane-Sydney,Brisbane,Sydney,Qantas,2005-09-01,589.0,583,6.0,499.0,471.0,84.0,112.0,2005,9
Melbourne-Sydney,Melbourne,Sydney,Qantas,2005-09-01,845.0,819,26.0,723.0,709.0,96.0,110.0,2005,9
